datestr,daten,DPCCRAM1M225NBEA
"1974-06-01",01jun1974,-.6
"1974-07-01",01jul1974,0
"1974-08-01",01aug1974,.9
"1974-09-01",01sep1974,-1.1
"1974-10-01",01oct1974,-.6
"1974-11-01",01nov1974,-1
"1974-12-01",01dec1974,-.1
"1975-01-01",01jan1975,1.2
"1975-02-01",01feb1975,.9
"1975-03-01",01mar1975,-.7
"1975-04-01",01apr1975,-.2
"1975-05-01",01may1975,2.3
"1975-06-01",01jun1975,.3
"1975-07-01",01jul1975,.4
"1975-08-01",01aug1975,.3
"1975-09-01",01sep1975,.5
"1975-10-01",01oct1975,.3
"1975-11-01",01nov1975,1.2
"1975-12-01",01dec1975,.9
"1976-01-01",01jan1976,.6
"1976-02-01",01feb1976,.2
"1976-03-01",01mar1976,.3
"1976-04-01",01apr1976,.6
"1976-05-01",01may1976,-.9
"1976-06-01",01jun1976,1.2
"1976-07-01",01jul1976,.5
"1976-08-01",01aug1976,0
"1976-09-01",01sep1976,.4
"1976-10-01",01oct1976,0
"1976-11-01",01nov1976,.6
"1976-12-01",01dec1976,1.5
"1977-01-01",01jan1977,-.7
"1977-02-01",01feb1977,1.4
"1977-03-01",01mar1977,.7
"1977-04-01",01apr1977,0
"1977-05-01",01may1977,.2
"1977-06-01",01jun1977,-.2
"1977-07-01",01jul1977,.8
"1977-08-01",01aug1977,.1
"1977-09-01",01sep1977,.4
"1977-10-01",01oct1977,.7
"1977-11-01",01nov1977,.8
"1977-12-01",01dec1977,.3
"1978-01-01",01jan1978,-1.2
"1978-02-01",01feb1978,1.4
"1978-03-01",01mar1978,1.4
"1978-04-01",01apr1978,1.1
"1978-05-01",01may1978,.4
"1978-06-01",01jun1978,.6
"1978-07-01",01jul1978,-.5
"1978-08-01",01aug1978,1
"1978-09-01",01sep1978,-.4
"1978-10-01",01oct1978,.4
"1978-11-01",01nov1978,.2
"1978-12-01",01dec1978,.6
"1979-01-01",01jan1979,-.5
"1979-02-01",01feb1979,.3
"1979-03-01",01mar1979,.7
"1979-04-01",01apr1979,-.5
"1979-05-01",01may1979,.4
"1979-06-01",01jun1979,-.1
"1979-07-01",01jul1979,.6
"1979-08-01",01aug1979,.8
"1979-09-01",01sep1979,.2
"1979-10-01",01oct1979,-.3
"1979-11-01",01nov1979,.3
"1979-12-01",01dec1979,-.3
"1980-01-01",01jan1980,1.2
"1980-02-01",01feb1980,-1.4
"1980-03-01",01mar1980,-1.3
"1980-04-01",01apr1980,-1.1
"1980-05-01",01may1980,-.4
"1980-06-01",01jun1980,.5
"1980-07-01",01jul1980,1.3
"1980-08-01",01aug1980,.1
"1980-09-01",01sep1980,.4
"1980-10-01",01oct1980,1.5
"1980-11-01",01nov1980,-.2
"1980-12-01",01dec1980,.6
"1981-01-01",01jan1981,-.1
"1981-02-01",01feb1981,.4
"1981-03-01",01mar1981,.3
"1981-04-01",01apr1981,-.5
"1981-05-01",01may1981,-.5
"1981-06-01",01jun1981,.4
"1981-07-01",01jul1981,.2
"1981-08-01",01aug1981,1
"1981-09-01",01sep1981,-.8
"1981-10-01",01oct1981,-1
"1981-11-01",01nov1981,.1
"1981-12-01",01dec1981,.2
"1982-01-01",01jan1982,-.2
"1982-02-01",01feb1982,1.2
"1982-03-01",01mar1982,-.1
"1982-04-01",01apr1982,-.3
"1982-05-01",01may1982,.9
"1982-06-01",01jun1982,-.7
"1982-07-01",01jul1982,.6
"1982-08-01",01aug1982,.3
"1982-09-01",01sep1982,1
"1982-10-01",01oct1982,.3
"1982-11-01",01nov1982,1
"1982-12-01",01dec1982,.7
"1983-01-01",01jan1983,.3
"1983-02-01",01feb1983,-.1
"1983-03-01",01mar1983,.8
"1983-04-01",01apr1983,.8
"1983-05-01",01may1983,1
"1983-06-01",01jun1983,.9
"1983-07-01",01jul1983,.6
"1983-08-01",01aug1983,.1
"1983-09-01",01sep1983,.6
"1983-10-01",01oct1983,1.1
"1983-11-01",01nov1983,.2
"1983-12-01",01dec1983,.6
"1984-01-01",01jan1984,1.3
"1984-02-01",01feb1984,-.6
"1984-03-01",01mar1984,0
"1984-04-01",01apr1984,.8
"1984-05-01",01may1984,.6
"1984-06-01",01jun1984,.7
"1984-07-01",01jul1984,-.2
"1984-08-01",01aug1984,.4
"1984-09-01",01sep1984,.7
"1984-10-01",01oct1984,-.2
"1984-11-01",01nov1984,1.3
"1984-12-01",01dec1984,.6
"1985-01-01",01jan1985,.5
"1985-02-01",01feb1985,.5
"1985-03-01",01mar1985,.4
"1985-04-01",01apr1985,.2
"1985-05-01",01may1985,1.3
"1985-06-01",01jun1985,-.6
"1985-07-01",01jul1985,.8
"1985-08-01",01aug1985,1.1
"1985-09-01",01sep1985,1.5
"1985-10-01",01oct1985,-1.7
"1985-11-01",01nov1985,.2
"1985-12-01",01dec1985,.7
"1986-01-01",01jan1986,.7
"1986-02-01",01feb1986,-.4
"1986-03-01",01mar1986,.2
"1986-04-01",01apr1986,1
"1986-05-01",01may1986,.6
"1986-06-01",01jun1986,-.4
"1986-07-01",01jul1986,.7
"1986-08-01",01aug1986,1.1
"1986-09-01",01sep1986,2.4
"1986-10-01",01oct1986,-1.9
"1986-11-01",01nov1986,-.5
"1986-12-01",01dec1986,2.7
"1987-01-01",01jan1987,-2.7
"1987-02-01",01feb1987,2.1
"1987-03-01",01mar1987,.1
"1987-04-01",01apr1987,.5
"1987-05-01",01may1987,-.1
"1987-06-01",01jun1987,.6
"1987-07-01",01jul1987,.6
"1987-08-01",01aug1987,.9
"1987-09-01",01sep1987,-.4
"1987-10-01",01oct1987,-.4
"1987-11-01",01nov1987,.4
"1987-12-01",01dec1987,.8
"1988-01-01",01jan1988,.7
"1988-02-01",01feb1988,.2
"1988-03-01",01mar1988,.7
"1988-04-01",01apr1988,-.3
"1988-05-01",01may1988,.6
"1988-06-01",01jun1988,.3
"1988-07-01",01jul1988,.3
"1988-08-01",01aug1988,.4
"1988-09-01",01sep1988,0
"1988-10-01",01oct1988,.6
"1988-11-01",01nov1988,.4
"1988-12-01",01dec1988,.8
"1989-01-01",01jan1989,.3
"1989-02-01",01feb1989,-.9
"1989-03-01",01mar1989,.3
"1989-04-01",01apr1989,.9
"1989-05-01",01may1989,-.2
"1989-06-01",01jun1989,.3
"1989-07-01",01jul1989,.4
"1989-08-01",01aug1989,.9
"1989-09-01",01sep1989,-.4
"1989-10-01",01oct1989,0
"1989-11-01",01nov1989,-.1
"1989-12-01",01dec1989,.3
"1990-01-01",01jan1990,2
"1990-02-01",01feb1990,-1.1
"1990-03-01",01mar1990,.3
"1990-04-01",01apr1990,.1
"1990-05-01",01may1990,-.1
"1990-06-01",01jun1990,.3
"1990-07-01",01jul1990,.3
"1990-08-01",01aug1990,-.2
"1990-09-01",01sep1990,0
"1990-10-01",01oct1990,-.4
"1990-11-01",01nov1990,-.1
"1990-12-01",01dec1990,-.4
"1991-01-01",01jan1991,-1
"1991-02-01",01feb1991,1
"1991-03-01",01mar1991,1
"1991-04-01",01apr1991,-.3
"1991-05-01",01may1991,-.2
"1991-06-01",01jun1991,.3
"1991-07-01",01jul1991,.5
"1991-08-01",01aug1991,0
"1991-09-01",01sep1991,.1
"1991-10-01",01oct1991,-.3
"1991-11-01",01nov1991,.4
"1991-12-01",01dec1991,.6
"1992-01-01",01jan1992,1.4
"1992-02-01",01feb1992,.4
"1992-03-01",01mar1992,-.2
"1992-04-01",01apr1992,0
"1992-05-01",01may1992,.7
"1992-06-01",01jun1992,.5
"1992-07-01",01jul1992,.2
"1992-08-01",01aug1992,.4
"1992-09-01",01sep1992,.5
"1992-10-01",01oct1992,.4
"1992-11-01",01nov1992,0
