datestr,daten,UNRATE
"2015-08-01",01aug2015,5.1
"2015-09-01",01sep2015,5
"2015-10-01",01oct2015,5
"2015-11-01",01nov2015,5.1
"2015-12-01",01dec2015,5
"2016-01-01",01jan2016,4.9
"2016-02-01",01feb2016,4.9
"2016-03-01",01mar2016,5
"2016-04-01",01apr2016,5
"2016-05-01",01may2016,4.8
"2016-06-01",01jun2016,4.9
"2016-07-01",01jul2016,4.8
"2016-08-01",01aug2016,4.9
"2016-09-01",01sep2016,5
"2016-10-01",01oct2016,4.9
"2016-11-01",01nov2016,4.7
"2016-12-01",01dec2016,4.7
"2017-01-01",01jan2017,4.7
"2017-02-01",01feb2017,4.6
"2017-03-01",01mar2017,4.4
"2017-04-01",01apr2017,4.4
"2017-05-01",01may2017,4.4
"2017-06-01",01jun2017,4.3
"2017-07-01",01jul2017,4.3
"2017-08-01",01aug2017,4.4
"2017-09-01",01sep2017,4.2
"2017-10-01",01oct2017,4.1
"2017-11-01",01nov2017,4.2
"2017-12-01",01dec2017,4.1
"2018-01-01",01jan2018,4.1
"2018-02-01",01feb2018,4.1
"2018-03-01",01mar2018,4
"2018-04-01",01apr2018,4
"2018-05-01",01may2018,3.8
"2018-06-01",01jun2018,4
"2018-07-01",01jul2018,3.8
"2018-08-01",01aug2018,3.8
"2018-09-01",01sep2018,3.7
"2018-10-01",01oct2018,3.8
"2018-11-01",01nov2018,3.7
"2018-12-01",01dec2018,3.9
"2019-01-01",01jan2019,4
"2019-02-01",01feb2019,3.8
"2019-03-01",01mar2019,3.8
"2019-04-01",01apr2019,3.6
"2019-05-01",01may2019,3.6
"2019-06-01",01jun2019,3.7
"2019-07-01",01jul2019,3.7
"2019-08-01",01aug2019,3.7
"2019-09-01",01sep2019,3.5
"2019-10-01",01oct2019,3.6
"2019-11-01",01nov2019,3.5
"2019-12-01",01dec2019,3.5
"2020-01-01",01jan2020,3.6
"2020-02-01",01feb2020,3.5
"2020-03-01",01mar2020,4.4
"2020-04-01",01apr2020,14.7
"2020-05-01",01may2020,13.3
"2020-06-01",01jun2020,11.1
